,QNo,Career,Answer_A,Answer_B,Answer_C,Answer_D
117,14,Blockchain Developer,0,0,1,0
118,14,Cybersecurity Analyst,0,0,0,1
119,14,Blockchain Developer,0,0,0,1
120,15,Software Engineer,1,0,0,0
121,15,Full Stack Developer,1,0,0,0
122,15,Data Scientist,0,1,0,0
123,15,Data Engineer,0,1,0,0
124,15,Cybersecurity Analyst,0,0,1,0
125,15,Blockchain Developer,0,0,1,0
126,15,Cybersecurity Analyst,0,0,0,1
127,15,Blockchain Developer,0,0,0,1
128,16,Full Stack Developer,1,0,0,0
129,16,Software Engineer,1,0,0,0
130,16,AI/ML Engineer,0,1,0,0
131,16,Data Scientist,0,1,0,0
132,16,Cybersecurity Analyst,0,0,1,0
133,16,Blockchain Developer,0,0,1,0
134,16,Cybersecurity Analyst,0,0,0,1
135,16,Blockchain Developer,0,0,0,1
136,17,Full Stack Developer,1,0,0,0
137,17,Software Engineer,1,0,0,0
138,17,AI/ML Engineer,0,1,0,0
139,17,Data Scientist,0,1,0,0
140,17,Blockchain Developer,0,0,1,0
141,17,Cybersecurity Analyst,0,0,1,0
142,17,Blockchain Developer,0,0,0,1
143,17,Cybersecurity Analyst,0,0,0,1
144,18,Software Engineer,1,0,0,0
145,18,Full Stack Developer,1,0,0,0
146,18,AI/ML Engineer,0,1,0,0
147,18,Data Scientist,0,1,0,0
148,18,Cybersecurity Analyst,0,0,1,0
149,18,System Administrator,0,0,1,0
150,18,Cybersecurity Analyst,0,0,0,1
151,18,System Administrator,0,0,0,1
152,19,Software Engineer,1,0,0,0
153,19,Full Stack Developer,1,0,0,0
154,19,Data Scientist,0,1,0,0
155,19,Data Engineer,0,1,0,0
156,19,Cybersecurity Analyst,0,0,1,0
157,19,Blockchain Developer,0,0,1,0
158,19,Cybersecurity Analyst,0,0,0,1
159,19,Blockchain Developer,0,0,0,1
